2451868,1361.4794
2451869,1361.5302
2451870,1361.67
2451871,1361.7685
2451872,1361.9451
2451873,1361.9949
2451874,1362.0759
2451875,1362.0483
2451876,1361.9518
2451877,1361.9296
2451878,1362.0416
2451879,1362.0621
2451880,1362.1225
2451881,1362.231
2451882,1362.3887
2451883,1362.4636
2451884,1362.2055
2451885,1361.8678
2451886,1361.7335
2451887,1361.7796
2451888,1361.8466
2451889,1361.9402
2451890,1362.0178
2451891,1362.0533
2451892,1361.9134
2451893,1361.786
2451894,1361.7343
2451895,1361.8972
2451896,1362.1012
2451897,1362.3721
2451898,1362.4581
2451899,1362.396
2451900,1362.2473
2451901,1362.0787
2451902,1361.9371
2451903,1361.8881
2451904,1361.8906
2451905,1361.9014
2451906,1361.9419
2451907,1361.8899
2451908,1361.8184
2451909,1361.6537
2451910,1361.4337
2451911,1361.2836
2451912,1361.4075
2451913,1361.546
2451914,1361.6548
2451915,1361.8687
2451916,1362.1032
2451917,1362.208
2451918,1362.1866
2451919,1362.1506
2451920,1361.9662
2451921,1361.8025
2451922,1361.6241
2451923,1361.4908
2451924,1361.5859
2451925,1361.863
2451926,1362.0617
2451927,1362.2645
2451928,1362.2814
2451929,1362.2043
2451930,1362.1215
2451931,1362.0608
2451932,1362.0497
2451933,1362.1797
2451934,1361.9917
2451935,1361.9523
2451936,1362.0404
2451937,1361.985
2451938,1362.0078
2451939,1362.1252
2451940,1362.1448
2451941,1362.258
2451942,1362.3108
2451943,1362.2856
2451944,1362.2686
2451945,1362.3882
2451946,1362.2803
2451947,1362.0336
2451948,1361.9082
2451949,1361.9055
2451950,1361.9634
2451951,1361.9138
2451952,1361.9507
2451953,1362.0159
2451954,1361.9845
2451955,1362.0145
2451956,1361.9997
2451957,1361.975
2451958,1361.9066
2451959,1361.9044
2451960,1361.8873
2451961,1361.894
2451962,1361.9799
2451963,1362.0966
2451964,1362.0681
2451965,1362.0622
2451966,1362.056
2451967,1361.9888
2451968,1362.0185
2451969,1362.0408
2451970,1362.1431
2451971,1362.2197
2451972,1362.1778
2451973,1361.9735
2451974,1361.769
2451975,1361.5343
2451976,1361.5072
2451977,1361.5723
2451978,1361.7804
2451979,1361.95
2451980,1362.133
2451981,1362.073
2451982,1361.9828
2451983,1361.7689
2451984,1361.6626
2451985,1361.6473
2451986,1361.7635
2451987,1361.8522
2451988,1361.9418
2451989,1362.0652
2451990,1362.0426
2451991,1361.8168
2451992,1361.6597
2451993,1361.5249
2451994,1361.1899
2451995,1360.6451
2451996,1359.6912
2451997,1359.2899
2451998,1359.4983
2451999,1359.8682
2452000,1360.3909
2452001,1360.7855
2452002,1361.2641
2452003,1361.6371
2452004,1361.8
2452005,1361.6576
2452006,1361.3094
2452007,1361.145
2452008,1360.9848
2452009,1360.9366
2452010,1360.9585
2452011,1361.0418
2452012,1361.2399
2452013,1361.5258
2452014,1361.6427
2452015,1361.7182
2452016,1361.6324
2452017,1361.5465
2452018,1361.507
2452019,1361.4933
2452020,1361.3917
2452021,1361.0754
2452022,1360.9107
2452023,1360.9211
2452024,1360.8409
2452025,1360.9633
2452026,1361.1638
2452027,1361.2986
2452028,1361.4939
2452029,1361.6633
2452030,1361.7596
2452031,1361.7088
2452032,1361.6795
2452033,1361.5828
2452034,1361.4941
2452035,1361.6435
2452036,1361.7431
2452037,1361.6786
2452038,1361.6707
2452039,1361.6211
2452040,1361.5057
2452041,1361.2377
2452042,1360.8946
2452043,1360.8117
2452044,1360.8853
2452045,1361.1034
2452046,1361.363
2452047,1361.6049
2452048,1361.7423
2452049,1361.7284
2452050,1361.663
2452051,1361.5146
2452052,1361.2656
2452053,1360.9588
2452054,1360.8652
2452055,1361.0009
2452056,1361.242
2452057,1361.55
2452058,1361.8245
2452059,1361.9633
2452060,1361.9206
2452061,1361.7947
2452062,1361.7105
2452063,1361.6497
2452064,1361.4742
2452065,1361.2366
2452066,1361.2159
2452067,1361.3083
2452068,1361.2319
2452069,1360.8289
2452070,1360.419
2452071,1360.5319
2452072,1360.8602
2452073,1361.2995
2452074,1361.4361
2452075,1361.4711
2452076,1361.4863
2452077,1361.1515
2452078,1360.8537
2452079,1360.6277
2452080,1360.5052
2452081,1360.4868
2452082,1360.738
2452083,1361.196
2452084,1361.5027
2452085,1361.6596
2452086,1361.6698
2452087,1361.5047
2452088,1361.5203
2452089,1361.5768
2452090,1361.6394
2452091,1361.7185
2452092,1361.9211
2452093,1362.1224
2452094,1362.0068
2452095,1361.8535
2452096,1361.6807
2452097,1361.5542
2452098,1361.4603
2452099,1361.3575
2452100,1361.3926
2452101,1361.5958
2452102,1361.7859
2452103,1361.8101
2452104,1361.7209
2452105,1361.4643
2452106,1361.237
2452107,1361.0898
2452108,1361.184
2452109,1361.3612
2452110,1361.4988
2452111,1361.4734
2452112,1361.3832
2452113,1361.3224
2452114,1361.3555
2452115,1361.3638
2452116,1361.3913
2452117,1361.4346
2452118,1361.5461
2452119,1361.6577
2452120,1361.7313
2452121,1361.6414
2452122,1361.6414
2452123,1361.5784
2452124,1361.4534
2452125,1361.2852
2452126,1360.8773
2452127,1360.6887
2452128,1360.8034
2452129,1360.9126
2452130,1361.1741
2452131,1361.3963
2452132,1361.4199
2452133,1361.0273
2452134,1361.0262
2452135,1361.1953
2452136,1361.4941
2452137,1361.6865
2452138,1361.8342
2452139,1361.9425
2452140,1361.6651
2452141,1361.3603
2452142,1361.1496
2452143,1361.0984
2452144,1361.2103
2452145,1361.4277
2452146,1361.5502
2452147,1361.4824
2452148,1361.3358
2452149,1361.2616
2452150,1361.2691
2452151,1361.2138
2452152,1361.0375
2452153,1361.0029
2452154,1361.017
2452155,1360.9825
2452156,1360.9837
2452157,1361.061
2452158,1361.1199
2452159,1361.3615
2452160,1361.4206
2452161,1361.209
2452162,1360.7935
2452163,1360.486
2452164,1360.5996
2452165,1360.8402
2452166,1361.1862
2452167,1361.4997
2452168,1361.7737
2452169,1361.877
2452170,1361.8486
2452171,1361.6288
2452172,1361.5152
2452173,1361.3571
2452174,1361.1767
2452175,1360.8733
2452176,1360.7201
2452177,1360.5019
2452178,1360.4767
2452179,1360.68
2452180,1360.8645
2452181,1361.0693
2452182,1361.2604
2452183,1361.4361
2452184,1361.5723
2452185,1361.7794
2452186,1362.1274
2452187,1362.4658
2452188,1362.5751
2452189,1362.3577
2452190,1362.1698
2452191,1362.0383
2452192,1362.1456
