x,y,z,A,difRef
-0.8203258,0.16317295,0.54812419,0.031868604,0.33333333
-0.8203258,-0.163173,0.54812419,0.031868604,0.33333333
-0.6954387,-0.4646773,0.54812419,0.031868604,0.33333333
-0.4646773,-0.6954387,0.54812419,0.031868604,0.33333333
-0.163173,-0.8203258,0.54812419,0.031868604,0.33333333
0.16317295,-0.8203258,0.54812419,0.031868604,0.33333333
0.46467725,-0.6954387,0.54812419,0.031868604,0.33333333
0.69543865,-0.4646773,0.54812419,0.031868604,0.33333333
0.82032582,-0.163173,0.54812419,0.031868604,0.33333333
0.96263725,0.19148045,0.19148045,0.037786981,0.33333333
0.81608445,0.5452902,0.19148045,0.037786981,0.33333333
0.5452902,0.81608445,0.19148045,0.037786981,0.33333333
0.19148045,0.96263725,0.19148045,0.037786981,0.33333333
-0.1914805,0.96263725,0.19148045,0.037786981,0.33333333
-0.5452902,0.81608445,0.19148045,0.037786981,0.33333333
-0.8160845,0.5452902,0.19148045,0.037786981,0.33333333
-0.9626372,0.19148045,0.19148045,0.037786981,0.33333333
-0.9626372,-0.1914805,0.19148045,0.037786981,0.33333333
-0.8160845,-0.5452902,0.19148045,0.037786981,0.33333333
-0.5452902,-0.8160845,0.19148045,0.037786981,0.33333333
-0.1914805,-0.9626372,0.19148045,0.037786981,0.33333333
0.19148045,-0.9626372,0.19148045,0.037786981,0.33333333
0.5452902,-0.8160845,0.19148045,0.037786981,0.33333333
0.81608445,-0.5452902,0.19148045,0.037786981,0.33333333
0.96263725,-0.1914805,0.19148045,0.037786981,0.33333333
0.96263725,0.19148045,-0.1914805,0.037786981,0.33333333
0.81608445,0.5452902,-0.1914805,0.037786981,0.33333333
0.5452902,0.81608445,-0.1914805,0.037786981,0.33333333
0.19148045,0.96263725,-0.1914805,0.037786981,0.33333333
-0.1914805,0.96263725,-0.1914805,0.037786981,0.33333333
-0.5452902,0.81608445,-0.1914805,0.037786981,0.33333333
-0.8160845,0.5452902,-0.1914805,0.037786981,0.33333333
-0.9626372,0.19148045,-0.1914805,0.037786981,0.33333333
-0.9626372,-0.1914805,-0.1914805,0.037786981,0.33333333
-0.8160845,-0.5452902,-0.1914805,0.037786981,0.33333333
-0.5452902,-0.8160845,-0.1914805,0.037786981,0.33333333
-0.1914805,-0.9626372,-0.1914805,0.037786981,0.33333333
0.19148045,-0.9626372,-0.1914805,0.037786981,0.33333333
0.5452902,-0.8160845,-0.1914805,0.037786981,0.33333333
0.81608445,-0.5452902,-0.1914805,0.037786981,0.33333333
0.96263725,-0.1914805,-0.1914805,0.037786981,0.33333333
0.82032582,0.16317295,-0.5481242,0.031868604,0.33333333
0.69543865,0.46467725,-0.5481242,0.031868604,0.33333333
0.46467725,0.69543865,-0.5481242,0.031868604,0.33333333
0.16317295,0.82032582,-0.5481242,0.031868604,0.33333333
-0.163173,0.82032582,-0.5481242,0.031868604,0.33333333
-0.4646773,0.69543865,-0.5481242,0.031868604,0.33333333
-0.6954387,0.46467725,-0.5481242,0.031868604,0.33333333
-0.8203258,0.16317295,-0.5481242,0.031868604,0.33333333
-0.8203258,-0.163173,-0.5481242,0.031868604,0.33333333
-0.6954387,-0.4646773,-0.5481242,0.031868604,0.33333333
-0.4646773,-0.6954387,-0.5481242,0.031868604,0.33333333
-0.163173,-0.8203258,-0.5481242,0.031868604,0.33333333
0.16317295,-0.8203258,-0.5481242,0.031868604,0.33333333
0.46467725,-0.6954387,-0.5481242,0.031868604,0.33333333
0.69543865,-0.4646773,-0.5481242,0.031868604,0.33333333
0.82032582,-0.163173,-0.5481242,0.031868604,0.33333333
0.55220857,0.10984111,-0.8264385,0.021136426,0.33333333
0.46813982,0.31280103,-0.8264385,0.021136426,0.33333333
0.31280103,0.46813982,-0.8264385,0.021136426,0.33333333
0.10984111,0.55220857,-0.8264385,0.021136426,0.33333333
-0.1098411,0.55220857,-0.8264385,0.021136426,0.33333333
-0.312801,0.46813982,-0.8264385,0.021136426,0.33333333
-0.4681398,0.31280103,-0.8264385,0.021136426,0.33333333
-0.5522086,0.10984111,-0.8264385,0.021136426,0.33333333
-0.5522086,-0.1098411,-0.8264385,0.021136426,0.33333333
-0.4681398,-0.312801,-0.8264385,0.021136426,0.33333333
-0.312801,-0.4681398,-0.8264385,0.021136426,0.33333333
-0.1098411,-0.5522086,-0.8264385,0.021136426,0.33333333
0.10984111,-0.5522086,-0.8264385,0.021136426,0.33333333
0.31280103,-0.4681398,-0.8264385,0.021136426,0.33333333
0.46813982,-0.312801,-0.8264385,0.021136426,0.33333333
0.55220857,-0.1098411,-0.8264385,0.021136426,0.33333333
0.18865012,0.25481963,-0.9484082,0.007382758,0.33333333
0.24253563,0,-0.9701425,0.007382758,0.33333333
0,0.24253563,-0.9701425,0.007382758,0.33333333
0,0.12403473,-0.9922779,0.007382758,0.33333333
-0.2548196,0.18865012,-0.9484082,0.007382758,0.33333333
0,0.12403473,-0.9922779,0.007382758,0.33333333
-0.2425356,0,-0.9701425,0.007382758,0.33333333
-0.1240347,0,-0.9922779,0.007382758,0.33333333
-0.1886501,-0.2548196,-0.9484082,0.007382758,0.33333333
-0.1240347,0,-0.9922779,0.007382758,0.33333333
0,-0.2425356,-0.9701425,0.007382758,0.33333333
-0.1638464,-0.0819232,-0.9830783,0.007382758,0.33333333
0.25481963,-0.1886501,-0.9484082,0.007382758,0.33333333
0,-0.2425356,-0.9701425,0.007382758,0.33333333
0.12403473,0,-0.9922779,0.007382758,0.33333333
0.16222142,-0.1622214,-0.9733285,0.007382758,0.33333333
