Secs_from_Epoch, Height, Long, Lat, MLTAN

12780.000, 812.139, 84.16185, 42.15302, 23.131
12840.000, 811.569, 87.03636, 39.48136, 23.128
12900.000, 811.010, 89.67603, 36.73234, 23.128
12960.000, 810.475, 92.11319, 33.91840, 23.130
13020.000, 809.974, 94.37647, 31.04994, 23.134
13080.000, 809.521, 96.49112, 28.13575, 23.140
13140.000, 809.125, 98.47932, 25.18328, 23.148
13200.000, 808.798, 100.36069, 22.19892, 23.157
13260.000, 808.548, 102.15258, 19.18819, 23.169
13320.000, 808.385, 103.87054, 16.15591, 23.181
13380.000, 808.314, 105.52858, 13.10636, 23.195
13440.000, 808.343, 107.13951, 10.04341, 23.210
13500.000, 808.475, 108.71520, 6.97057, 23.226
13560.000, 808.713, 110.26682, 3.89113, 23.242
13620.000, 809.058, 111.80508, 0.80824, 23.259
13680.000, 809.511, 113.34041, -2.27508, 23.275
13740.000, 810.068, 114.88320, -5.35581, 23.292
13800.000, 810.726, 116.44397, -8.43087, 23.308
13860.000, 811.480, 118.03357, -11.49709, 23.323
13920.000, 812.323, 119.66346, -14.55110, 23.338
13980.000, 813.247, 121.34583, -17.58927, 23.351
14040.000, 814.241, 123.09397, -20.60758, 23.363
14100.000, 815.297, 124.92247, -23.60157, 23.374
14160.000, 816.400, 126.84754, -26.56616, 23.383
14220.000, 817.540, 128.88741, -29.49553, 23.390
14280.000, 818.701, 131.06264, -32.38291, 23.395
14340.000, 819.871, 133.39657, -35.22037, 23.398
